77,5132
71,0197
61,1854
61,3064
71,9246
51,2069
49,1786
47,6993
46,2814
44,3348
43,399
55,3125
54,079
161,6362
51,179500000000004
44,6343
42,1349
37,9462
38,3461
35,1736
34,2896
33,7219
36,2188
32,544700000000006
41,7531
31,593200000000003
31,735100000000003
30,5752
30,5959
29,811600000000002
29,046599999999998
29,3527
26,3734
25,3105
31,4794
27,7285
26,231
26,2315
34,8181
35,3437
34,9796
33,4806
32,7976
32,7956
31,850000000000005
32,255399999999995
24,302500000000002
23,540100000000002
30,044
23,5602
25,4009
22,916700000000002
22,7464
23,383399999999998
22,2336
23,139
22,3185
21,551299999999998
29,916
29,2029
21,1
30,044600000000003
23,1137
21,6646
19,7899
19,5589
19,5767
20,005300000000002
19,319
19,204800000000002
19,465400000000002
19,2032
18,7257
18,9785
25,171200000000002
18,7915
19,0082
27,6679
18,483800000000002
18,523
17,9587
23,4535
17,9713
19,6244
17,4207
19,4183
17,3415
18,6495
17,572
18,5423
16,9991
18,6509
18,186700000000002
17,2601
17,0304
17,446199999999997
23,169700000000002
16,7046
18,89
16,217
17,5993
16,2896
18,396900000000002
16,4738
18,3794
16,4102
18,2145
15,882
16,380100000000002
16,168
15,5761
15,4503
15,228200000000001
15,031600000000001
15,5335
16,052500000000002
14,9812
15,346200000000001
14,74
14,5913
14,8187
14,9823
14,6243
14,9705
18,6167
15,2154
14,8488
14,8805
14,4398
14,994800000000001
14,5877
14,4016
14,3842
14,6363
15,0016
14,476899999999999
14,4625
14,5724
19,8703
15,8352
16,8949
14,642999999999999
14,447700000000001
13,9908
14,4607
14,6337
14,3863
14,3927
14,4027
14,144
14,431
14,4726
13,97
13,9683
14,2478
13,74
16,355600000000003
13,668700000000001
13,6699
14,1084
13,6501
14,8857
13,5081
13,7716
13,3192
15,522499999999999
13,2928
13,6472
13,407499999999999
13,0556
13,2627
18,5109
13,556000000000001
13,9408
13,0964
13,0984
13,484599999999999
13,146700000000001
12,9517
13,0037
13,3356
13,1825
13,037
13,199499999999999
13,7684
13,7377
12,7954
12,8138
16,7716
13,0938
13,3681
12,6914
12,427900000000001
12,6535
13,0915
12,8843
12,3951
12,5541
12,4513
13,7181
12,0529
13,1128
12,2464
12,4296
13,5581
12,9125
12,2749
13,7535
12,4222
12,3636
12,2307
12,353299999999999
12,1122
11,7932
12,500499999999999
12,1857
11,950199999999999
11,504999999999999
11,969000000000001
11,6755
11,714799999999999
11,8827
11,416300000000001
11,3582
11,996400000000001
12,4573
10,9726
11,439599999999999
11,0962
11,439599999999999
11,3145
11,3127
11,4186
11,1629
11,5371
11,6184
17,704500000000003
14,605599999999999
10,9088
12,3056
10,6428
10,6134
10,7972
10,616499999999998
10,4719
11,0567
10,533000000000001
10,5302
13,2018
10,7219
10,4502
11,6892
10,776000000000002
10,1184
10,1409
9,9957
10,3623
10,6442
9,927800000000001
10,027700000000001
12,4246
9,9091
10,3199
10,363000000000001
10,129100000000001
10,541
10,0939
10,1972
10,9606
14,7791
10,4225
9,6641
10,1256
13,4819
13,7318
10,635399999999999
9,7376
10,158800000000001
10,1893
10,033
10,829699999999999
9,713700000000001
9,9311
10,279
13,7628
9,725299999999999
10,158999999999999
11,5278
13,0647
10,0744
9,5374
10,2723
10,4394
9,782900000000001
11,612300000000001
9,623
9,638499999999999
9,5004
10,1996
9,8409
10,1716
10,0085
9,5136
9,6509
11,075700000000001
10,2805
10,205
9,9407
10,1342
10,3217
9,658
13,2452
10,3978
10,3309
10,1485
9,8323
10,2565
10,422600000000001
9,7644
9,988
10,0867
9,931600000000001
10,6935
13,546000000000001
10,591800000000001
9,932
10,0607
10,200000000000001
13,2579
13,8829
11,6205
10,0909
10,7203
10,3415
10,8923
10,0914
9,941099999999999
10,130500000000001
15,376900000000001
13,1878
10,1808
10,055299999999999
9,797500000000001
9,8507
13,4903
11,3133
11,1503
9,4388
9,4497
11,7311
10,0251
9,9991
9,6253
9,4543
9,23
9,418
10,099
9,3034
9,5748
9,4129
9,9534
11,6663
10,123800000000001
10,809
9,6982
9,243599999999999
9,5886
9,3381
13,957600000000001
9,084
9,6644
9,3696
9,3542
9,1179
9,1714
9,6342
9,234
9,0338
12,2092
12,5702
12,103
12,465399999999999
10,8504
8,7895
9,3314
9,0114
8,6691
9,251000000000001
8,5635
8,765
8,6948
9,276299999999999
11,823500000000001
12,0138
12,4131
8,738900000000001
8,51
10,741499999999998
11,452399999999999
9,102
8,5961
9,1059
9,0764
8,7691
9,4938
8,857099999999999
8,835
8,6455
8,7924
8,543099999999999
9,0039
8,7312
11,232000000000001
8,5114
12,600200000000001
8,5483
8,4695
8,7563
8,5286
8,452599999999999
10,931899999999999
11,7523
11,571
11,5131
9,022799999999998
8,7315
8,0145
8,564499999999999
10,092
8,681899999999999
8,565700000000001
8,9779
8,63
8,7004
9,2422
9,216099999999999
9,078
8,5743
9,4552
8,6297
9,0365
8,591800000000001
9,0242
8,7485
9,902899999999999
8,9217
12,6233
8,740599999999999
8,3393
8,7185
8,2243
8,8541
8,291
8,5851
8,311300000000001
8,645399999999999
8,247300000000001
8,4605
7,997199999999999
8,863
9,8263
11,298300000000001
8,5318
7,9305
8,5895
7,973199999999999
8,580400000000001
7,8588000000000005
8,1066
8,5551
8,6967
8,0738
8,104099999999999
8,216299999999999
8,417300000000001
10,068499999999998
8,4664
8,0171
7,9354000000000005
7,7707999999999995
8,481499999999999
7,7709
9,027999999999999
7,8271
8,030199999999999
7,7379
7,3594
8,0923
7,303
7,7356
7,3481
8,0909
7,5616
9,696
10,066
11,1252
10,5085
10,4499
10,730699999999999
7,984399999999999
7,9003000000000005
12,3024
7,5089
8,2393
7,4627
7,476
7,659199999999999
7,388999999999999
8,0427
7,1768
7,5645
7,3242
7,5922
7,2889
7,4516
7,4055
7,7318999999999996
8,2655
7,734
7,768599999999999
8,8684
7,5064
7,4519
7,5731
7,545299999999999
8,2921
7,687399999999999
8,0794
7,7447
7,982899999999999
7,6447
8,1118
7,6653
8,568900000000001
10,324399999999999
10,3513
10,0574
10,3747
7,6553
7,2226
8,890199999999998
7,0904
7,3953
7,1754999999999995
7,5040000000000004
7,5437
7,6806
7,3043
7,3392
7,2992
7,3797999999999995
7,3392
7,568700000000001
7,855700000000001
9,1863
7,4265
7,4718
7,3091
7,7289
7,500500000000001
7,1139
10,9506
6,9063
10,3709
7,1564000000000005
7,4319
7,371499999999999
7,4982
9,9786
10,3733
10,3971
8,1434
7,3873999999999995
12,0412
6,9127
6,856199999999999
6,882700000000001
7,5249999999999995
7,0104
6,94
7,1185
6,936699999999999
6,8487
7,3742
6,8293
7,008
7,8688
6,7617
7,7242
7,0204
6,8933
6,8237000000000005
7,4866
7,2241
7,2443
9,0693
9,1416
9,6155
6,8623
6,9064
6,7261
6,9314
7,4559999999999995
6,9293000000000005
6,791
6,7868
6,942
6,7416
7,0470999999999995
6,753
7,4227
6,513
6,741
6,7321
6,585999999999999
6,7047
6,6806
6,704
6,7868
8,1881
8,5587
7,1268
6,4494
6,589799999999999
6,7959
6,5351
6,7661
6,6373999999999995
7,0192
6,537
6,593500000000001
6,785399999999999
6,831300000000001
10,398900000000001
6,535
6,6696
7,0225
6,2124
6,4223
6,5918
7,0168
6,8950000000000005
6,5123999999999995
6,3207
7,1466
6,5036
6,6644
6,6193
6,5567
7,161
6,9538
6,8341
8,0694
9,9612
6,2104
6,1235
8,575
7,778099999999999
6,9124
6,6615
6,2369
6,623600000000001
6,092099999999999
6,3377
6,198
6,2616
6,3685
6,2364999999999995
8,9194
8,9067
10,216299999999999
9,1387
6,7991
6,6110999999999995
6,8528
6,5585
6,687399999999999
6,5739
6,1919
7,1112
6,3229999999999995
9,8704
6,081300000000001
9,1523
6,1446000000000005
6,1979
6,492999999999999
6,1597
6,7767
6,2569
6,835100000000001
6,9486
6,4568
6,524699999999999
6,452699999999999
6,3892999999999995
6,5359
7,0392
6,6719
6,4246
6,7200999999999995
6,6776
6,450799999999999
7,0041
6,5789
9,950000000000001
7,5774
6,4883
9,983600000000001
6,2733
6,5251
6,2719000000000005
6,3411
6,4757
6,2214
6,353
6,1232999999999995
6,1462
6,3764
6,4738
6,7337
6,4106
6,6948
6,740600000000001
6,2667
6,5842
6,2235
6,2725
6,3468
5,9749
6,4528
9,3985
6,4924
6,557
5,902
6,2379
6,7763
6,2540000000000004
6,2149
5,9245
6,1878
6,2941
6,7885
6,4241
6,1651
6,3364
6,6105
6,4171000000000005
6,1916
6,1967
6,1561
6,2235
7,4652
6,1225000000000005
6,3378000000000005
6,1632
7,5603
5,7795
8,0955
6,0223
5,5078000000000005
6,2249
5,4807
5,5208
5,5504
5,3945
5,5411
5,5791
5,784400000000001
5,8322
5,9542
5,699
6,1524
5,8035
5,6147
5,7038
5,874
5,8259
5,3681
5,754
6,023599999999999
5,3705
7,573200000000001
5,9169
5,9735
5,4649
5,2848
5,3427
5,3775
5,2158
5,188199999999999
5,4783
5,1971
5,2532000000000005
6,4336
5,658200000000001
5,8751999999999995
5,938599999999999
5,6581
5,5108
5,438
5,3014
5,4584
5,7351
7,4699
8,099200000000002
5,647
5,5811
6,9781
5,1686
5,8625
5,2686
5,4711
5,7074
5,2691
5,4087
5,9563999999999995
5,1933
5,1119
5,5627
5,2299
5,2634
5,5375
5,5409
5,3809000000000005
5,859
5,492699999999999
5,3279
6,1592
5,2463
7,0356000000000005
7,4287
7,447
5,2977
5,6567
6,6774000000000004
5,4205
5,647
5,6921
5,3548
5,1174
5,1876
5,2177
5,2017
5,3073
5,0536
5,6196
5,742299999999999
5,565600000000001
5,9306
6,3387
6,0659
5,828200000000001
5,9934
6,0019
5,529
5,3117
7,8122
8,0506
5,8222
6,2232
6,612500000000001
5,4945
7,6160000000000005
5,4341
5,9401
5,4882
5,7774
5,6307
5,4503
5,667400000000001
6,1549
5,6057
6,0467
5,9977
5,7351
6,4012
5,8014
5,6419
5,9759
5,45
5,353400000000001
6,2147
8,0745
8,3096
5,7615
5,7889
7,018800000000001
5,352
6,21
5,4001
5,3051
6,0586
5,3551
5,2862
5,5335
5,222700000000001
5,2714
5,5809
5,658200000000001
5,8702
5,7759
5,8187
6,2165
5,8491
5,8468
5,6469
5,7169
5,474200000000001
7,5893999999999995
7,6566
5,8293
5,8793999999999995
7,1989
5,3692
6,01
5,5526
5,437799999999999
5,6165
5,7979
5,478000000000001
5,9022
5,6269
5,4182
5,659800000000001
5,9958
5,598
5,8173
5,5074
5,657500000000001
5,6204
5,2141
5,2687
5,6492
5,2194
7,102200000000001
8,222999999999999
7,4956
5,5103
6,8355999999999995
5,649900000000001
5,7019
5,238600000000001
5,4513
5,1391
5,0417
5,4586
5,1286
4,994
4,876799999999999
5,2401
5,1564000000000005
5,124700000000001
5,8214
5,3391
5,5988
5,6887
5,2578
5,3652999999999995
5,4227
5,016
5,9837
7,243399999999999
6,7463999999999995
5,611599999999999
5,3972999999999995
6,4299
5,2451
5,5245
5,339499999999999
5,2465
4,9216
4,850700000000001
5,0285
5,008699999999999
4,833200000000001
5,2425
5,599200000000001
5,1298
5,3698
5,4136999999999995
5,2671
5,905900000000001
5,4024
5,1488000000000005
5,2302
5,3204
5,1777999999999995
5,2866
6,3901
7,114599999999999
7,2086
5,343500000000001
6,6979
5,0967
5,4452
4,8342
5,3645000000000005
5,2058
5,0294
5,0966
5,1055
4,9043
5,4441999999999995
5,0383
4,9311
4,9609
4,8848
5,3117
4,9706
5,1383
5,4059
4,7103
4,7395
4,9258
4,7547
6,6322
7,0037
7,0628
6,0306999999999995
5,2506
6,3597
5,1414
5,3754
4,844
5,0161
5,2789
4,7427
5,4928
5,7232
4,8779
4,5925
5,2681000000000004
5,0013000000000005
4,9624
5,409599999999999
5,1455
4,9901
5,6717
5,3082
5,0195
5,12
